file,return_code,pnl,stdout_tail,stderr_tail
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb1p2_zm0p3_t30p0_mom0p0_curv0p0_l8m5m3_b3.py,0,281318.0,"0p0_mom0p0_curv0p0_l8m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 14,495
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,804

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb1p2_zm0p3_t30p0_mom0p0_curv0p0_l8m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 11,513
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 91,915

Profit summary:
Round 1 day -2: 94,598
Round 1 day -1: 94,804
Round 1 day 0: 91,915
Total profit: 281,318",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb1p2_zm0p3_t30p0_mom0p0_curv0p0_l8m5m3_b5.py,0,278240.0,"0p0_mom0p0_curv0p0_l8m5m3_b5.py on round 1 day -1
ASH_COATED_OSMIUM: 13,207
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 93,516

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb1p2_zm0p3_t30p0_mom0p0_curv0p0_l8m5m3_b5.py on round 1 day 0
ASH_COATED_OSMIUM: 10,521
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 90,923

Profit summary:
Round 1 day -2: 93,800
Round 1 day -1: 93,516
Round 1 day 0: 90,923
Total profit: 278,240",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb1p2_zm0p9_t30p0_mom0p0_curv0p0_l10m5m3_b3.py,0,268886.0,"0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 13,949
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,258

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb1p2_zm0p9_t30p0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 11,785
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 92,187

Profit summary:
Round 1 day -2: 82,441
Round 1 day -1: 94,258
Round 1 day 0: 92,187
Total profit: 268,886",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb1p2_zm0p9_t30p0_mom0p0_curv0p0_l10m5m3_b5.py,0,278762.0,"0_mom0p0_curv0p0_l10m5m3_b5.py on round 1 day -1
ASH_COATED_OSMIUM: 13,689
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 93,998

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb1p2_zm0p9_t30p0_mom0p0_curv0p0_l10m5m3_b5.py on round 1 day 0
ASH_COATED_OSMIUM: 10,930
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 91,332

Profit summary:
Round 1 day -2: 93,432
Round 1 day -1: 93,998
Round 1 day 0: 91,332
Total profit: 278,762",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb1p2_zm0p9_t30p0_mom0p0_curv0p0_l8m5m3_b3.py,0,280042.0,"0p0_mom0p0_curv0p0_l8m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 14,199
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,508

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb1p2_zm0p9_t30p0_mom0p0_curv0p0_l8m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 11,558
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 91,960

Profit summary:
Round 1 day -2: 93,574
Round 1 day -1: 94,508
Round 1 day 0: 91,960
Total profit: 280,042",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb1p2_zm0p9_t30p0_mom0p0_curv0p0_l8m5m3_b5.py,0,277192.0,"0p0_mom0p0_curv0p0_l8m5m3_b5.py on round 1 day -1
ASH_COATED_OSMIUM: 13,228
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 93,537

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema0p4_imb1p2_zm0p9_t30p0_mom0p0_curv0p0_l8m5m3_b5.py on round 1 day 0
ASH_COATED_OSMIUM: 10,358
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 90,760

Profit summary:
Round 1 day -2: 92,896
Round 1 day -1: 93,537
Round 1 day 0: 90,760
Total profit: 277,192",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b3.py,0,278123.0,"p0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 15,056
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 95,365

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 7,828
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 88,230

Profit summary:
Round 1 day -2: 94,528
Round 1 day -1: 95,365
Round 1 day 0: 88,230
Total profit: 278,123",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b5.py,0,280522.0,"0_mom0p0_curv0p0_l10m5m3_b5.py on round 1 day -1
ASH_COATED_OSMIUM: 14,490
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,799

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b5.py on round 1 day 0
ASH_COATED_OSMIUM: 11,206
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 91,608

Profit summary:
Round 1 day -2: 94,114
Round 1 day -1: 94,799
Round 1 day 0: 91,608
Total profit: 280,522",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l8m5m3_b3.py,0,281996.0,"0p0_mom0p0_curv0p0_l8m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 15,040
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 95,349

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l8m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 11,851
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 92,253

Profit summary:
Round 1 day -2: 94,394
Round 1 day -1: 95,349
Round 1 day 0: 92,253
Total profit: 281,996",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l8m5m3_b5.py,0,278387.0,"0p0_mom0p0_curv0p0_l8m5m3_b5.py on round 1 day -1
ASH_COATED_OSMIUM: 13,277
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 93,586

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l8m5m3_b5.py on round 1 day 0
ASH_COATED_OSMIUM: 10,881
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 91,283

Profit summary:
Round 1 day -2: 93,518
Round 1 day -1: 93,586
Round 1 day 0: 91,283
Total profit: 278,387",
